ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
2018-0061,6/10/2018,CONDUCTOR,MASCULINO,51.0,6/10/2018
2018-0062,6/14/2018,PEATON,MASCULINO,32.0,6/14/2018
2018-0063,6/16/2018,PEATON,FEMENINO,28.0,6/17/2018
2018-0064,6/25/2018,CONDUCTOR,MASCULINO,30.0,6/25/2018
2018-0065,6/26/2018,CONDUCTOR,MASCULINO,35.0,6/26/2018
2018-0066,6/28/2018,PEATON,MASCULINO,73.0,6/28/2018
2018-0067,6/29/2018,PASAJERO,FEMENINO,81.0,7/6/2018
2018-0068,7/1/2018,CONDUCTOR,MASCULINO,21.0,7/1/2018
2018-0069,7/4/2018,CICLISTA,MASCULINO,20.0,7/4/2018
2018-0070,7/7/2018,CONDUCTOR,MASCULINO,33.0,7/7/2018
2018-0071,7/10/2018,CONDUCTOR,MASCULINO,,7/10/2018
2018-0072,7/11/2018,CONDUCTOR,MASCULINO,27.0,7/13/2018
2018-0073,7/11/2018,PEATON,FEMENINO,67.0,7/11/2018
2018-0074,7/14/2018,CONDUCTOR,MASCULINO,25.0,7/14/2018
2018-0075,7/15/2018,PEATON,MASCULINO,23.0,7/15/2018
2018-0076,7/16/2018,CONDUCTOR,MASCULINO,73.0,7/16/2018
2018-0077,7/16/2018,CONDUCTOR,MASCULINO,58.0,7/17/2018
2018-0078,7/21/2018,PEATON,MASCULINO,27.0,7/21/2018
2018-0079,7/23/2018,PEATON,MASCULINO,,7/23/2018
2018-0080,7/25/2018,PEATON,MASCULINO,26.0,7/25/2018
2018-0081,7/29/2018,PEATON,MASCULINO,35.0,7/29/2018
2018-0082,8/1/2018,CONDUCTOR,FEMENINO,17.0,8/1/2018
2018-0083,8/2/2018,CONDUCTOR,MASCULINO,,8/2/2018
2018-0084,8/3/2018,PEATON,MASCULINO,45.0,8/3/2018
2018-0085,8/3/2018,PASAJERO,FEMENINO,22.0,8/3/2018
2018-0085,8/3/2018,CONDUCTOR,MASCULINO,30.0,8/3/2018
2018-0086,8/10/2018,PEATON,MASCULINO,40.0,8/10/2018
2018-0087,8/15/2018,PEATON,MASCULINO,75.0,8/20/2018
2018-0088,8/17/2018,CONDUCTOR,MASCULINO,,8/17/2018
2018-0089,8/17/2018,PEATON,MASCULINO,80.0,8/17/2018
2018-0090,8/18/2018,CONDUCTOR,MASCULINO,27.0,8/18/2018
2018-0091,8/19/2018,PASAJERO,FEMENINO,23.0,8/19/2018
2018-0092,8/20/2018,CONDUCTOR,MASCULINO,23.0,8/20/2018
2018-0093,8/20/2018,PEATON,MASCULINO,24.0,8/20/2018
2018-0094,8/23/2018,CONDUCTOR,MASCULINO,32.0,8/23/2018
2018-0095,8/26/2018,PASAJERO,FEMENINO,49.0,8/26/2018
2018-0096,8/31/2018,PEATON,MASCULINO,39.0,8/31/2018
2018-0097,9/2/2018,CONDUCTOR,FEMENINO,35.0,9/2/2018
2018-0098,9/9/2018,CONDUCTOR,MASCULINO,55.0,9/9/2018
2018-0098,9/9/2018,PASAJERO,MASCULINO,54.0,9/9/2018
2018-0099,9/12/2018,PEATON,MASCULINO,18.0,9/13/2018
