ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,gen_bin,AAAA,MES,AÑO_FALLECIMIENTO,MES_FALLECIMIENTO
2016-0116,2016-09-02,CONDUCTOR,MASCULINO,30.0,2016-09-02,0.0,2016,9,2016.0,9.0
2016-0117,2016-09-03,CONDUCTOR,MASCULINO,43.0,,0.0,2016,9,,
2016-0118,2016-09-04,CONDUCTOR,MASCULINO,27.0,2016-09-04,0.0,2016,9,2016.0,9.0
2016-0119,2016-09-04,PASAJERO,FEMENINO,,,1.0,2016,9,,
2016-0122,2016-09-13,CICLISTA,MASCULINO,49.0,2016-09-13,0.0,2016,9,2016.0,9.0
2016-0123,2016-09-14,CONDUCTOR,FEMENINO,58.0,,1.0,2016,9,,
2016-0124,2016-09-16,PEATON,MASCULINO,67.0,,0.0,2016,9,,
2016-0125,2016-09-17,CONDUCTOR,MASCULINO,30.0,,0.0,2016,9,,
2016-0126,2016-09-18,CONDUCTOR,MASCULINO,37.0,,0.0,2016,9,,
2016-0126,2016-09-18,PASAJERO,MASCULINO,60.0,,0.0,2016,9,,
2016-0127,2016-09-24,PEATON,MASCULINO,50.0,,0.0,2016,9,,
2016-0128,2016-10-02,PEATON,FEMENINO,81.0,2016-10-02,1.0,2016,10,2016.0,10.0
2016-0130,2016-10-04,CONDUCTOR,MASCULINO,29.0,2016-10-04,0.0,2016,10,2016.0,10.0
2016-0131,2016-10-09,PEATON,MASCULINO,35.0,,0.0,2016,10,,
2016-0132,2016-10-10,PASAJERO,MASCULINO,30.0,2016-10-10,0.0,2016,10,2016.0,10.0
2016-0133,2016-10-14,CONDUCTOR,MASCULINO,41.0,2016-10-25,0.0,2016,10,2016.0,10.0
2016-0134,2016-10-23,CONDUCTOR,MASCULINO,25.0,2016-10-23,0.0,2016,10,2016.0,10.0
2016-0135,2016-10-24,PEATON,MASCULINO,29.0,2016-10-25,0.0,2016,10,2016.0,10.0
2016-0136,2016-10-25,CONDUCTOR,SD,,,,2016,10,,
2016-0137,2016-10-25,CONDUCTOR,MASCULINO,30.0,,0.0,2016,10,,
2016-0138,2016-10-27,CICLISTA,FEMENINO,33.0,,1.0,2016,10,,
2016-0139,2016-10-28,PASAJERO,FEMENINO,35.0,,1.0,2016,10,,
2016-0140,2016-10-31,PASAJERO,MASCULINO,20.0,,0.0,2016,10,,
2016-0142,2016-11-05,CONDUCTOR,MASCULINO,46.0,2016-11-05,0.0,2016,11,2016.0,11.0
2016-0143,2016-11-06,CONDUCTOR,MASCULINO,35.0,,0.0,2016,11,,
2016-0144,2016-11-07,PEATON,MASCULINO,83.0,,0.0,2016,11,,
2016-0145,2016-11-07,CONDUCTOR,MASCULINO,39.0,2016-11-07,0.0,2016,11,2016.0,11.0
2016-0146,2016-11-09,PEATON,FEMENINO,29.0,,1.0,2016,11,,
2016-0147,2016-11-16,PASAJERO,MASCULINO,55.0,2016-11-16,0.0,2016,11,2016.0,11.0
2016-0148,2016-11-16,CONDUCTOR,MASCULINO,,,0.0,2016,11,,
2016-0150,2016-11-18,PASAJERO,MASCULINO,41.0,2016-11-18,0.0,2016,11,2016.0,11.0
2016-0151,2016-11-18,PEATON,SD,,,,2016,11,,
2016-0152,2016-11-23,CONDUCTOR,MASCULINO,42.0,2016-11-24,0.0,2016,11,2016.0,11.0
2016-0153,2016-11-25,PEATON,FEMENINO,83.0,2016-11-25,1.0,2016,11,2016.0,11.0
2016-0154,2016-11-26,CONDUCTOR,MASCULINO,38.0,,0.0,2016,11,,
2016-0155,2016-11-26,PEATON,FEMENINO,29.0,,1.0,2016,11,,
2016-0156,2016-11-26,CONDUCTOR,MASCULINO,23.0,2016-11-30,0.0,2016,11,2016.0,11.0
2016-0157,2016-12-03,CONDUCTOR,MASCULINO,23.0,,0.0,2016,12,,
2016-0159,2016-12-04,CONDUCTOR,MASCULINO,23.0,,0.0,2016,12,,
2016-0160,2016-12-06,CONDUCTOR,MASCULINO,29.0,2016-12-06,0.0,2016,12,2016.0,12.0
2016-0161,2016-12-06,PEATON,MASCULINO,50.0,2016-12-06,0.0,2016,12,2016.0,12.0
2016-0162,2016-12-07,PEATON,MASCULINO,38.0,2017-01-01,0.0,2016,12,2017.0,1.0
2016-0163,2016-12-10,CONDUCTOR,MASCULINO,23.0,,0.0,2016,12,,
2016-0164,2016-12-11,CONDUCTOR,MASCULINO,29.0,,0.0,2016,12,,
2016-0165,2016-12-12,CICLISTA,MASCULINO,37.0,,0.0,2016,12,,
2016-0168,2016-12-13,CONDUCTOR,MASCULINO,43.0,2016-12-13,0.0,2016,12,2016.0,12.0
2016-0169,2016-12-15,CONDUCTOR,MASCULINO,24.0,2016-12-16,0.0,2016,12,2016.0,12.0
2016-0170,2016-12-19,PASAJERO,MASCULINO,21.0,2016-12-19,0.0,2016,12,2016.0,12.0
2016-0171,2016-12-25,CONDUCTOR,SD,,,,2016,12,,
2016-0172,2016-12-26,CONDUCTOR,MASCULINO,38.0,2016-12-26,0.0,2016,12,2016.0,12.0
2016-0173,2016-12-26,CONDUCTOR,MASCULINO,35.0,,0.0,2016,12,,
2016-0174,2016-12-27,SD,SD,,,,2016,12,,
2016-0175,2016-12-27,PEATON,FEMENINO,,,1.0,2016,12,,
2016-0176,2016-12-28,CONDUCTOR,MASCULINO,28.0,,0.0,2016,12,,
2016-0177,2016-12-29,PEATON,FEMENINO,27.0,,1.0,2016,12,,
2016-0178,2016-12-30,PEATON,FEMENINO,7.0,,1.0,2016,12,,
2017-0001,2017-01-02,CONDUCTOR,MASCULINO,18.0,2017-01-02,0.0,2017,1,2017.0,1.0
2017-0003,2017-01-05,PASAJERO,MASCULINO,33.0,2017-01-05,0.0,2017,1,2017.0,1.0
2017-0007,2017-01-11,PEATON,MASCULINO,48.0,2017-01-11,0.0,2017,1,2017.0,1.0
2017-0008,2017-01-16,CONDUCTOR,MASCULINO,29.0,2017-01-16,0.0,2017,1,2017.0,1.0
2017-0009,2017-01-16,CONDUCTOR,MASCULINO,36.0,2017-01-16,0.0,2017,1,2017.0,1.0
2017-0010,2017-01-16,CONDUCTOR,MASCULINO,23.0,2017-01-16,0.0,2017,1,2017.0,1.0
2017-0011,2017-01-22,PASAJERO,FEMENINO,29.0,2017-01-22,1.0,2017,1,2017.0,1.0
2017-0012,2017-01-24,CONDUCTOR,MASCULINO,30.0,2017-01-24,0.0,2017,1,2017.0,1.0
2017-0013,2017-01-27,PEATON,MASCULINO,4.0,2017-01-27,0.0,2017,1,2017.0,1.0
2017-0014,2017-01-28,PASAJERO,FEMENINO,22.0,2017-01-28,1.0,2017,1,2017.0,1.0
2017-0015,2017-02-02,PEATON,MASCULINO,82.0,2017-02-21,0.0,2017,2,2017.0,2.0
2017-0016,2017-02-03,CONDUCTOR,MASCULINO,27.0,2017-02-04,0.0,2017,2,2017.0,2.0
2017-0017,2017-02-06,CONDUCTOR,MASCULINO,32.0,2017-02-06,0.0,2017,2,2017.0,2.0
